voter_id,remaining_credits,max_possible_additional_votes,max_additional_projects,unused_projects,credits_used,usage_rate,remaining_category
63f77afa-6f97-4f6f-952b-4a2dfe4a4ffb,42,6,7,7,57,57.57575757575758,10+
67b5334a-e2f0-4acc-8d13-7e4d5e90ef57,83,9,7,7,16,16.161616161616163,10+
45fb3714-c03c-4124-8dbe-d9d2f39f8e34,1,1,1,7,98,98.98989898989899,1-4
8570cc79-b391-4ccc-ab76-5bb4c662bebd,1,1,1,7,98,98.98989898989899,1-4
fee10770-bd3a-4883-82ee-affcfc5eb415,2,1,2,7,97,97.97979797979798,1-4
eff0703b-66e3-45c1-b9d5-ed6ac57a8248,8,2,7,7,91,91.91919191919192,8-9
9072370d-1697-4037-9f9f-21248d1d75bc,2,1,2,7,97,97.97979797979798,1-4
a996f466-b1d8-49b3-a246-ff14af99b180,2,1,2,7,97,97.97979797979798,1-4
2ab8f58d-bb41-488b-901f-3780e7ad8992,0,0,0,7,99,100.0,0
5678fcf5-78ec-419e-85b9-95f600f32395,0,0,0,7,99,100.0,0
6582b125-5533-4a89-94a6-1c9ee7bd700c,0,0,0,7,99,100.0,0
16f75741-0cfc-456a-8024-062387315278,4,2,4,7,95,95.95959595959596,1-4
63b7624e-8891-42cf-af77-c62b4e34fd36,18,4,7,7,81,81.81818181818183,10+
86f29980-2fc5-4a9c-9cee-477e1a6913f2,0,0,0,7,99,100.0,0
4fcfb0c5-e95d-4e15-a09c-d876dd75787c,0,0,0,7,99,100.0,0
3f9bf616-4d91-416b-8057-3cef18a9e25e,6,2,6,7,93,93.93939393939394,5-7
3328a2a3-940b-4e28-83ee-ee5c74b53a4e,1,1,1,7,98,98.98989898989899,1-4
4f8abd63-d2a3-44a3-9b52-e5b68c7e209e,0,0,0,7,99,100.0,0
694afab6-3b7e-48fd-9547-d011dd8991cb,3,1,3,7,96,96.96969696969697,1-4
f55a52bc-d3b0-4aab-8bed-ee0ec7a3599e,0,0,0,7,99,100.0,0
9e4a684a-d880-4e40-a91f-2ebdacbc82ce,0,0,0,7,99,100.0,0
ea26b329-80c7-4342-a10e-30ea874517db,5,2,5,7,94,94.94949494949495,5-7
8044d930-cf27-4cc0-a288-06c5206302c8,0,0,0,7,99,100.0,0
9950bf20-1c97-4203-bfcd-d2a27d90b49a,36,6,7,7,63,63.63636363636363,10+
dd1c1dae-737b-4dd8-a6f8-545e78ab77c7,0,0,0,7,99,100.0,0
f6fbdbd0-70c6-4e0e-a44e-0b148a56f803,0,0,0,7,99,100.0,0
e920e8a1-a948-4922-b5ef-b97acd61d041,6,2,6,7,93,93.93939393939394,5-7
0a733706-eaa5-475d-adb8-efde5898fb98,0,0,0,7,99,100.0,0
f9491ad5-a2aa-4b43-9abf-9b4853f5221d,0,0,0,7,99,100.0,0
5edb56bd-7856-4ff7-85a3-e4a28b890fe0,9,3,7,7,90,90.9090909090909,8-9
b65c3102-8850-4041-ad67-1c248f11bee8,0,0,0,7,99,100.0,0
a92ae152-02e0-4a9b-b11a-af3261e94bf5,10,3,7,7,89,89.8989898989899,10+
96acce12-ad02-47ab-ac80-042e3b873be0,0,0,0,7,99,100.0,0
01c9a978-56a5-408a-8fcf-c04548a5089c,4,2,4,7,95,95.95959595959596,1-4
b5259881-abf8-47ef-aa43-c4be0675cae8,1,1,1,7,98,98.98989898989899,1-4
00e162ef-ca9d-4a14-bf4a-d04cd8dc2024,0,0,0,7,99,100.0,0
fcc73a01-309e-4be7-99de-d3586e28ea9c,70,8,7,7,29,29.292929292929294,10+
92389a06-af6c-4fa1-b88f-c8d252cc0bb0,0,0,0,7,99,100.0,0
39df0fc7-dc6b-49ef-88f9-342b7ae35cc8,5,2,5,7,94,94.94949494949495,5-7
b72a7d9c-6dfd-4b38-96a7-1b725926000b,2,1,2,7,97,97.97979797979798,1-4
ae80977c-a98a-41a5-9569-0b4f698c5636,5,2,5,7,94,94.94949494949495,5-7
2f4631f7-d7ad-40c5-a541-5cc61e35bc6c,2,1,2,7,97,97.97979797979798,1-4
d4055a1e-6033-45c0-89d2-b3a8f8a662ac,0,0,0,7,99,100.0,0
19395b4b-943e-4b3f-8ebe-584e11976a89,0,0,0,7,99,100.0,0
708f197e-50e5-49be-9ba1-df51af9fa2ab,1,1,1,7,98,98.98989898989899,1-4
9f211b49-8a8b-444b-a830-8c757b92f967,1,1,1,7,98,98.98989898989899,1-4
de7586c4-9eb6-4fc9-b071-afee111a1df1,3,1,3,7,96,96.96969696969697,1-4
754a284b-37fc-4dca-be39-53e081d2efea,1,1,1,7,98,98.98989898989899,1-4
5cda1ab6-0b73-43f7-9021-361519f073ee,0,0,0,7,99,100.0,0
af599f88-3b0f-4729-ba6e-6f4034bbb5eb,0,0,0,7,99,100.0,0
6238c7cc-41b0-472a-9926-545b7fba995f,2,1,2,7,97,97.97979797979798,1-4
6c451cde-f197-4f8d-8cb4-0d50bfdef79d,8,2,7,7,91,91.91919191919192,8-9
